DATE,BOROUGH,DIRECTION,MAIN STREET,CROSS STREET,TYPE,TRUCK ROUTE,STRUCK OVERPASS,STATE OF OPERATORS LICENSE,BRIDGE IDENTIFICATION NUMBER,LATITUDE,LONGITUDE,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
10/25/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EXIT 1,STRIKE,NO,YES,NJ,,,,,,,,,
03/23/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,VA,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
04/06/2018,QUEENS,E/B,QUEENS BOULEVARD,WOODHAVEN BLVD,STRIKE,YES,YES,N/A,2248159,40.733479,-73.87048,POINT (-73.87048 40.733479),14784,66,3,5,68
12/18/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
07/24/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
12/09/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
10/05/2017,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,YES,FL,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
07/08/2016,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,N/A,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
08/08/2019,QUEENS,N/B,CROSS ISLAND PARKWAY,FRANCIS LEWIS BOULEVARD,STRIKE,NO,YES,N/A,2231930,40.786434,-73.806265,POINT (-73.806265 40.786434),14192,22,3,20,67
03/29/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
01/07/2013,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.843025,-73.837796,POINT (-73.837796 40.843025),11270,59,5,12,32
06/03/2014,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,N/A,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
01/05/2018,BROOKLYN,E/B,BELT PARKWAY,BAY PARKWAY,STRIKE,NO,YES,OH,2231319,40.595893,-74.000009,POINT (-74.000009 40.595893),17616,1,2,44,37
10/16/2018,QUEENS,N/B,CROSS ISLAND PARKWAY,WHITESTONE EXPRESSWAY,STRIKE,NO,YES,NY,1065210,40.790655,-73.822075,POINT (-73.822075 40.790655),14192,22,3,20,67
05/22/2015,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 252nd STREET,STRIKE,NO,YES,N/A,2229500,40.899333,-73.907194,POINT (-73.907194 40.899333),11609,48,5,40,33
10/09/2014,MANHATTAN,S/B,128th STREET,3rd AVENUE,STRIKE,YES,YES,N/A,2246620,40.805645,-73.93441,POINT (-73.93441 40.805645),13093,7,4,36,16
12/22/2015,QUEENS,S/B,CROSS ISLAND PARKWAY,SOUTHERN STATE PARKWAY,STRIKE,NO,YES,IL,2266770,40.685666,-73.726403,POINT (-73.726403 40.685666),15311,63,3,6,63
11/03/2016,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
04/10/2017,BRONX,N/B,HUTCHINSON RIVER PARKWAY,BRUCKNER BOULEVARD,STRIKE,NO,YES,NJ,2076109,40.829008,-73.837189,POINT (-73.837189 40.829008),11274,43,5,12,28
02/13/2013,QUEENS,,CROSS ISLAND PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,N/A,1076050,40.74087,-73.726832,POINT (-73.726832 40.74087),24335,63,3,16,63
05/03/2019,STATEN ISLAND,N/B,WEST SHORE EXPRESSWAY,ARDEN AVENUE,STRIKE,YES,YES,,1069720,40.560651,-74.199497,POINT (-74.199497 40.560651),10700,15,1,9,77
10/29/2014,STATEN ISLAND,W/B,STATEN ISLAND EXPRESSWAY,BRADLEY AVENUE,STRIKE,NO,YES,N/A,1067730,40.608284,-74.132052,POINT (-74.132052 40.608284),10700,4,1,13,75
07/01/2016,MANHATTAN,N/B,FDR DRIVE,EAST 62nd STREET,STRIKE,NO,YES,N/A,2233038,40.76024,-73.957634,POINT (-73.957634 40.76024),10090,23,4,1,11
06/21/2018,QUEENS,W/B,JACKIE ROBINSON PARKWAY,QUEENS BOULEVARD,STRIKE,NO,YES,N/A,2230209,40.714381,-73.830989,POINT (-73.830989 40.714381),14786,40,3,28,60
03/18/2019,MANHATTAN,N/B,FDR DRIVE,EAST 60th STREET,STRIKE,NO,YES,NC,2233038,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
10/25/2016,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NJ,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
10/15/2015,QUEENS,S/B,CROSS ISLAND PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,N/A,2231850,40.74087,-73.726832,POINT (-73.726832 40.74087),24335,63,3,16,63
03/21/2013,BROOKLYN,E/B,BROOKLYN BRIDGE,,STRIKE,NO,NO,N/A,2268518,40.706063,-73.996889,POINT (-73.996889 40.706063),,,,,
07/14/2018,MANHATTAN,S/B,FDR DRIVE,EAST 49th STREET,STRIKE,NO,YES,CA,2266630,40.752444,-73.964531,POINT (-73.964531 40.752444),12419,71,4,51,9
07/05/2018,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,DC,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
12/03/2013,MANHATTAN,N/B,FDR DRIVE,EAST 60th STREET,STRIKE,NO,YES,SC,2233040,40.758966,-73.958367,POINT (-73.958367 40.758966),12083,23,4,1,11
01/30/2015,QUEENS,E/B,GRAND CENTRAL PARKWAY,77th AVENUE,STRIKE,NO,YES,N/A,7075210,40.716812,-73.829973,POINT (-73.829973 40.716812),14786,67,3,28,70
10/31/2017,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,NH,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
03/22/2015,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,N/A,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
05/30/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,CT,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
09/28/2018,QUEENS,E/B,JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,STRIKE,NO,YES,N/A,2230120,40.702909,-73.858049,POINT (-73.858049 40.702909),15310,54,3,34,62
07/21/2015,MANHATTAN,N/B,FDR DRIVE,EAST 59th STREET,STRIKE,NO,YES,CA,2233040,40.758306,-73.958857,POINT (-73.958857 40.758306),12419,23,4,1,11
09/05/2013,MANHATTAN,N/B,FDR DRIVE,EAST 54th STREET,STRIKE,NO,YES,TX,2233040,40.755257,-73.961629,POINT (-73.961629 40.755257),12419,71,4,1,9
11/25/2018,BRONX,S/B,HENRY HUDSON PARKWAY,WEST 252nd STREET,STRIKE,NO,YES,IL,2229500,40.899333,-73.907194,POINT (-73.907194 40.899333),11609,48,5,40,33
06/04/2013,BROOKLYN,E/B,BROOKLYN QUEENS EXPRESSWAY,YORK STREET,STRIKE,YES,YES,N/A,2268507,40.701653,-73.990212,POINT (-73.990212 40.701653),16865,68,2,38,54
02/03/2017,BROOKLYN,E/B,BELT PARKWAY,OCEAN PARKWAY,STRIKE,NO,YES,FL,2231360,40.583891,-73.966856,POINT (-73.966856 40.583891),13826,21,2,45,35
03/11/2017,MANHATTAN,W/B,65th STREET,TRANSVERSE ROAD,STRIKE,YES,NO,N/A,2246100,40.769876,-73.974707,POINT (-73.974707 40.769876),,19,4,19,13
07/10/2017,QUEENS,E/B,LONG ISLAND EXPRESSWAY,150th STREET,STRIKE,YES,YES,UT,1055130,40.740223,-73.819521,POINT (-73.819521 40.740223),14509,25,3,24,67
02/23/2019,QUEENS,W/B,BELT PARKWAY,MERRICK BOULEVARD,STRIKE,NO,YES,NY,2231720,40.673922,-73.734539,POINT (-73.734539 40.673922),24018,63,3,47,63
08/15/2013,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NJ,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
06/13/2013,QUEENS,E/B,JACKIE ROBINSON PARKWAY,CYPRESS HILLS STREET,STRIKE,NO,YES,NY,2230040,40.692143,-73.882403,POINT (-73.882403 40.692143),15310,54,3,34,62
08/16/2016,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,N/A,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
07/26/2018,QUEENS,S/B,CROSS ISLAND PARKWAY,CLINTONVILLE STREET,STRIKE,NO,YES,N/A,2231940,40.786873,-73.810109,POINT (-73.810109 40.786873),14192,22,3,20,67
11/09/2013,MANHATTAN,S/B,FDR DRIVE,EAST 78th STREET,STRIKE,NO,YES,N/A,2232140,40.769562,-73.948367,POINT (-73.948367 40.769562),10092,23,4,1,11
04/04/2013,BROOKLYN,E/B,BELT PARKWAY,EAST 12th STREET,STRIKE,NO,NO,N/A,2231390,40.585008,-73.957673,POINT (-73.957673 40.585008),13826,32,2,15,36
07/14/2015,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,IN,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
05/22/2018,QUEENS,W/B,BELT PARKWAY,CROSS BAY BOULEVARD,STRIKE,NO,YES,NY,2231559,40.666227,-73.841453,POINT (-73.841453 40.666227),15314,62,3,41,64
09/16/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MI,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
11/06/2014,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,NO,NJ,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
11/23/2017,BRONX,S/B,BRONX RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,CAN,7067078,40.829923,-73.873361,POINT (-73.873361 40.829923),11610,58,5,31,26
03/14/2018,BROOKLYN,E/B,BELT PARKWAY,EAST 14th STREET,STRIKE,NO,YES,NJ,2233080,40.585038,-73.954744,POINT (-73.954744 40.585038),13826,32,2,15,36
09/23/2015,BRONX,E/B,JEROME AVENUE,EAST BURNSIDE AVENUE,STRIKE,YES,YES,N/A,,40.853832,-73.907366,POINT (-73.907366 40.853832),10931,6,5,29,29
06/18/2019,QUEENS,S/B,CROSS ISLAND PARKWAY,DOUGLASTON PARKWAY,STRIKE,NO,YES,NY,2266139,40.751664,-73.742826,POINT (-73.742826 40.751664),14197,26,3,16,69
04/03/2015,BROOKLYN,E/B,BELT PARKWAY,SHELL ROAD,STRIKE,NO,NO,AL,7233000,40.582824,-73.97448,POINT (-73.97448 40.582824),18184,21,2,45,35
07/30/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,ORCHARD BEACH ROAD,STRIKE,NO,YES,MO,1075860,40.873041,-73.818738,POINT (-73.818738 40.873041),11273,44,5,12,28
06/02/2013,QUEENS,W/B,JACKIE ROBINSON PARKWAY,MARKWOOD PLACE,STRIKE,NO,YES,NJ,2230190,40.711773,-73.836038,POINT (-73.836038 40.711773),14786,40,3,28,70
12/18/2018,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
09/30/2013,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,FL,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
06/18/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
01/20/2017,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
11/19/2018,MANHATTAN,N/B,FDR DRIVE,EAST 57th STREET,STRIKE,NO,YES,PA,2233040,40.757053,-73.959903,POINT (-73.959903 40.757053),,71,4,1,9
08/11/2017,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,PA,1076660,40.666167,-73.787542,POINT (-73.787542 40.666167),24669,63,3,47,63
03/18/2015,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,OH,2231300,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
02/19/2016,QUEENS,E/B,QUEENS BOULEVARD,WOODHAVEN BLVD,STRIKE,YES,YES,N/A,2248159,40.733479,-73.87048,POINT (-73.87048 40.733479),14784,66,3,5,68
02/08/2017,QUEENS,E/B,JACKIE ROBINSON PARKWAY,HIGHLAND BOULEVARD,STRIKE,NO,YES,N/A,2230000,40.678189,-73.897491,POINT (-73.897491 40.678189),17214,45,2,37,47
04/22/2019,QUEENS,S/B,CROSS ISLAND PARKWAY,LINDEN BOULEVARD,STRIKE,NO,YES,N/A,2231750,40.690743,-73.72678,POINT (-73.72678 40.690743),15311,63,3,6,63
12/31/2013,STATEN ISLAND,S/B,FOREST AVENUE,Dr MARTIN LUTHER KING JR EXPRESSWAY,STRIKE,NO,YES,N/A,1067631,40.624972,-74.146318,POINT (-74.146318 40.624972),10371,4,1,13,75
05/15/2017,MANHATTAN,N/B,PARK AVENUE,EAST 40th STREET,STRIKE,NO,YES,N/A,2246550,40.750798,-73.978516,POINT (-73.978516 40.750798),12078,71,4,51,9
04/29/2014,BROOKLYN,E/B,BELT PARKWAY,EAST 12th STREET,STRIKE,NO,NO,N/A,2231390,40.585008,-73.957673,POINT (-73.957673 40.585008),13826,32,2,15,36
09/15/2016,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
06/28/2013,BROOKLYN,E/B,BELT PARKWAY,SHORE ROAD,STRIKE,NO,YES,NY,2244150,40.641704,-74.030508,POINT (-74.030508 40.641704),18180,10,2,44,41
12/21/2015,QUEENS,E/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,FL,2231590,40.666577,-73.810575,POINT (-73.810575 40.666577),24016,62,3,46,64
05/08/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,CO,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
06/23/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,MA,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
04/02/2019,QUEENS,E/B,BELT PARKWAY,SUNRISE HIGHWAY,STRIKE,NO,YES,N/A,2231650,40.665703,-73.741142,POINT (-73.741142 40.665703),15313,63,3,47,63
07/13/2017,QUEENS,W/B,GRAND CENTRAL PARKWAY,72nd ROAD,STRIKE,NO,YES,N/A,1065020,40.721793,-73.835529,POINT (-73.835529 40.721793),14786,40,3,28,70
06/08/2018,QUEENS,W/B,JACKIE ROBINSON PARKWAY,METROPOLITAN AVENUE,STRIKE,NO,YES,N/A,2230179,40.708996,-73.841639,POINT (-73.841639 40.708996),24011,38,3,28,60
12/03/2015,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
07/20/2016,QUEENS,E/B,JACKIE ROBINSON PARKWAY,FOREST PARK DRIVE,STRIKE,NO,YES,NY,2230109,40.699696,-73.868599,POINT (-73.868599 40.699696),24017,38,3,34,60
09/03/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,OH,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
05/05/2016,BROOKLYN,E/B,BROOKLYN QUEENS EXPRESSWAY,BORINQUEN PLACE,STRIKE,YES,YES,N/A,1065590,40.710654,-73.955664,POINT (-73.955664 40.710654),17613,36,2,30,56
10/30/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,NY,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
12/16/2017,BROOKLYN,E/B,JACKIE ROBINSON PARKWAY,PENNSYLVANIA AVENUE,STRIKE,NO,YES,TX,2230000,40.679722,-73.89689,POINT (-73.89689 40.679722),17214,45,2,37,47
05/27/2014,BRONX,E/B,CROSS BRONX EXPRESSWAY,3rd AVENUE,STRIKE,YES,YES,TN,,40.843969,-73.897542,POINT (-73.897542 40.843969),10935,34,5,22,25
01/23/2018,BROOKLYN,E/B,JACKIE ROBINSON PARKWAY,HIGHLAND BOULEVARD,STRIKE,NO,YES,NC,2230020,40.678189,-73.897491,POINT (-73.897491 40.678189),17214,45,2,37,47
02/19/2015,BROOKLYN,E/B,BELT PARKWAY,92nd STREET,STRIKE,NO,NO,AZ,2232167,40.628854,-73.888429,POINT (-73.888429 40.628854),13827,33,2,8,42
08/25/2018,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,CT,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
12/03/2016,BROOKLYN,E/B,BELT PARKWAY,EAST 12th STREET,STRIKE,NO,YES,FL,2231390,40.585008,-73.957673,POINT (-73.957673 40.585008),13826,32,2,15,36
01/31/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
01/09/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
02/16/2016,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NJ,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
05/22/2019,STATEN ISLAND,S/B,WEST SHORE EXPRESSWAY,SHARROTTS ROAD,STRIKE,YES,YES,NY,1076020,40.537116,-74.224531,POINT (-74.224531 40.537116),10696,15,1,9,77
12/03/2014,BRONX,N/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,TN,2075837,40.842945,-73.837598,POINT (-73.837598 40.842945),11270,43,5,12,28
08/20/2018,QUEENS,N/B,CROSS ISLAND PARKWAY,SUPERIOR ROAD,STRIKE,NO,YES,OH,2231800,40.720565,-73.725604,POINT (-73.725604 40.720565),15785,,,,
06/09/2014,QUEENS,W/B,GRAND CENTRAL PARKWAY,ROOSEVELT AVENUE,STRIKE,NO,YES,CA,1055930,40.752716,-73.852024,POINT (-73.852024 40.752716),14510,65,3,21,68
12/04/2014,MANHATTAN,N/B,FDR DRIVE,EAST 58th STREET,STRIKE,NO,YES,VA,2233040,40.757719,-73.959396,POINT (-73.959396 40.757719),12419,71,4,1,9
10/27/2018,MANHATTAN,N/B,FDR DRIVE,EAST 61st STREET,STRIKE,NO,YES,N/A,2233040,40.759554,-73.957941,POINT (-73.957941 40.759554),12083,23,4,1,11
10/10/2014,BRONX,S/B,HUTCHINSON RIVER PARKWAY,EAST TREMONT AVENUE,STRIKE,NO,YES,GA,2075820,40.840729,-73.83848,POINT (-73.83848 40.840729),11270,59,5,12,32
05/24/2016,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NJ,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
01/12/2019,BRONX,N/B,HENRY HUDSON PARKWAY,WEST 239th STREET,STRIKE,NO,YES,FL,2229470,40.889358,-73.908774,POINT (-73.908774 40.889358),11609,48,5,40,33
01/10/2013,QUEENS,S/B,CROSS ISLAND PARKWAY,UNION TURNPIKE,STRIKE,NO,YES,N/A,2231850,40.74087,-73.726832,POINT (-73.726832 40.74087),24335,63,3,16,63
10/10/2016,BRONX,S/B,HUTCHINSON RIVER PARKWAY,WESTCHESTER AVENUE,STRIKE,NO,YES,N/A,2075837,40.842963,-73.837802,POINT (-73.837802 40.842963),11270,59,5,12,32
04/18/2017,QUEENS,W/B,BELT PARKWAY,130th STREET,STRIKE,NO,YES,N/A,2231590,40.666703,-73.81036,POINT (-73.81036 40.666703),24339,62,3,46,64
04/11/2014,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,NO,CO,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
11/07/2015,QUEENS,E/B,JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,STRIKE,NO,YES,NY,2230120,40.702909,-73.858049,POINT (-73.858049 40.702909),15310,54,3,34,62
04/06/2017,QUEENS,E/B,BROOKLYN QUEENS EXPRESSWAY,69th STREET,STRIKE,YES,YES,N/A,2230550,40.749883,-73.897232,POINT (-73.897232 40.749883),14787,53,3,33,66
02/16/2017,BROOKLYN,E/B,BELT PARKWAY,17th AVENUE,STRIKE,NO,YES,NJ,2231290,40.601674,-74.011772,POINT (-74.011772 40.601674),17616,1,2,44,37
03/26/2016,MANHATTAN,S/B,FDR DRIVE,EAST 90th STREET,STRIKE,NO,YES,PA,2232167,40.777492,-73.942847,POINT (-73.942847 40.777492),10099,23,4,1,11
05/21/2019,BROOKLYN,E/B,JACKIE ROBINSON PARKWAY,HIGHLAND BOULEVARD,STRIKE,NO,YES,NY,2230000,40.678189,-73.897491,POINT (-73.897491 40.678189),17214,45,2,37,47
02/22/2013,MANHATTAN,S/B,FDR DRIVE,EAST 59th STREET,STRIKE,NO,YES,N/A,2233040,40.758362,-73.958978,POINT (-73.958978 40.758362),12419,23,4,1,11
07/06/2016,BRONX,E/B,CROSS BRONX EXPRESSWAY,WEBSTER AVENUE,STRIKE,YES,YES,N/A,1066349,40.844557,-73.902709,POINT (-73.902709 40.844557),10935,50,5,22,25
